"country","countryname","oecdmember","eumember","edate","date","party","partyname","parfam","coderid","coderyear","manual","testresult","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","peruncod","total","rile","planeco","markeco","welfare","intpeace"
11,"Sweden",10,0,9/18/1988,198809,11110,"Green Ecology Party",10,228,1991,1,0.630999982357025,5.52568912506104,0,998,20,349,1,10,0,0,0,0,0,0,9.89999961853027,0,0,1.39999997615814,0,0,0,0,2.79999995231628,0,0,0,0,0,2.79999995231628,1.39999997615814,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1.39999997615814,9.89999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4000015258789,71,-18.3999996185303,1.39999997615814,0,11.3000001907349,0
11,"Sweden",10,0,9/15/1991,199109,11110,"Green Ecology Party",10,228,1994,1,0.630999982357025,3.38254594802856,0,998,0,349,1,100,1.14942526817322,0,0,0,4.59770107269287,1.14942526817322,4.59770107269287,0,0,9.19540214538574,8.04597663879395,9.19540214538574,0,0,0,0,0,0,0,0,0,1.14942526817322,0,0,0,0,0,0,1.14942526817322,0,0,0,1.14942526817322,0,0,37.9310340881348,2.29885053634644,4.59770107269287,0,0,0,0,0,0,0,0,0,0,0,0,1.14942526817322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6436777114868,87,-12.6436777114868,1.14942526817322,1.14942526817322,4.59770107269287,5.74712657928467
11,"Sweden",10,0,9/18/1994,199409,11110,"Green Ecology Party",10,228,1997,1,0.630999982357025,5.02276992797852,0,998,18,349,1,100,0,0,0,0,2.5,0,0,0,0,6.25,0,1.25,1.25,0,0,0,0,0,0,0,0,10,0,0,0,0,1.25,0,1.25,0,0,0,12.5,0,0,33.75,0,16.25,5,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,80,-6.25,10,12.5,21.25,2.5
11,"Sweden",10,10,9/21/1998,199809,11110,"Green Ecology Party",10,228,1998,1,0.630999982357025,4.5,0,998,16,349,1,100,0,0,0,0,5.55555534362793,0,6.94444465637207,0,0,9.72222232818604,0,6.94444465637207,0,0,0,0,0,0,0,0,0,8.33333301544189,0,0,0,0,0,0,1.38888883590698,0,0,0,2.77777767181396,0,0,30.5555553436279,2.77777767181396,8.33333301544189,9.72222232818604,0,1.38888883590698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555534362793,72,-36.1111106872559,8.33333301544189,2.77777767181396,18.0555553436279,5.55555534362793
11,"Sweden",10,10,9/15/2002,200209,11110,"Green Ecology Party",10,228,2003,1,999,4.64609003067017,0,998,17,349,1,20,0,0,0,0,3.10559010505676,0.621118009090424,8.07453441619873,0,0,4.34782600402832,1.24223601818085,3.72670817375183,0,0,1.86335408687592,0,0,0,0,0,4.34782600402832,0.621118009090424,0,0,0,0,0,0,0,1.24223601818085,0,0,0,0,0,27.950309753418,2.48447203636169,11.1801242828369,11.8012418746948,0,2.48447203636169,0,0,0,0,0,0,0,0,0,1.24223601818085,0,0,0,0,8.07453441619873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59006214141846,161,-26.0869560241699,0.621118009090424,0,22.9813652038574,3.72670817375183
11,"Sweden",10,10,9/17/2006,200609,11110,"Green Ecology Party",10,277,2010,3,0.6647,5.244216,0,998,19,349,1,40,0,0,0,0,1.01,0.51,2.02,0,0,1.01,6.57,1.52,0,0,3.03,0,0,0,0,0,3.54,1.01,0,1.01,0,0,1.01,0,0,5.56,3.54,0,0,0,0,17.17,3.54,13.13,16.67,0,2.02,0,0,0,0,0,4.04,3.03,0,0,0.51,0,2.02,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,198,-11.63,4.55,0,29.8,1.52
11,"Sweden",10,10,9/19/2010,201009,11110,"Green Ecology Party",10,277,2010,3,0.4668,7.34,0,998,25,349,1,51,0,0,0,0,1.90839695930481,0.763358771800995,0,0,0,0.763358771800995,6.10687017440796,0.763358771800995,0,0,1.14503812789917,0,0,0,1.14503812789917,0,5.72519063949585,1.14503812789917,0.381679385900497,0,0,0,5.3435115814209,0,0,8.77862548828125,0,0,0,0,0,23.2824420928955,3.05343508720398,7.63358783721924,11.8320608139038,0,9.92366409301758,0,0,0,0,0,3.05343508720398,2.67175579071045,0.381679385900497,0,1.14503812789917,0,0.381679385900497,0,1.14503812789917,1.52671754360199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,-9.16030523180962,1.52671751379967,0,19.465648651123,2.6717557311058
11,"Sweden",0,0,9/17/1944,194409,11220,"Communist Party",20,117,1983,0,999,10.3000001907349,0,998,15,230,1,41,1.89999997615814,0,0,0,0,1.89999997615814,0,0,0,0,9.60000038146973,0,1.89999997615814,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79999995231628,0,0,0,1.89999997615814,0,1.89999997615814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,52,9.60000038146973,1.89999997615814,1.89999997615814,0,1.89999997615814
11,"Sweden",0,0,9/19/1948,194809,11220,"Communist Party",20,117,1983,0,999,6.31158971786499,0,998,8,230,1,10,2,0,10,0,0,10,0,0,0,0,4,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,2,0,0,0,0,6,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,50,-44,8,2,18,10
11,"Sweden",0,0,9/21/1952,195209,11220,"Communist Party",20,117,1983,0,999,4.33950090408325,0,998,5,230,1,10,3.29999995231628,4.40000009536743,3.29999995231628,0,3.29999995231628,33,2.20000004768372,0,1.10000002384186,2.20000004768372,9.89999961853027,2.20000004768372,0,0,0,0,0,0,0,0,0,1.10000002384186,0,0,0,0,6.59999990463257,0,0,0,2.20000004768372,0,3.29999995231628,0,0,0,0,1.10000002384186,7.69999980926514,0,0,0,3.29999995231628,0,0,0,0,0,0,0,2.20000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,91,-40.7000007629395,3.29999995231628,3.29999995231628,8.80000019073486,40.7000007629395
11,"Sweden",0,0,9/26/1956,195609,11220,"Communist Party",20,117,1983,0,999,5.00127601623535,0,998,6,231,1,10,0.800000011920929,0,0,0,4.19999980926514,9.19999980926514,0,0,0,0,0,7.59999990463257,0,0,0,0,0.800000011920929,0,0,0,5.90000009536743,3.40000009536743,0,0,0.800000011920929,0.800000011920929,6.69999980926514,0,0,0,6.69999980926514,4.19999980926514,0.800000011920929,0,0,0,1.70000004768372,10.8999996185303,12.6000003814697,0,4.19999980926514,0,0,0,0,0,0,0,0,0,0.800000011920929,0,2.5,0,0,4.19999980926514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,119,-46.2000007629395,10.1000003814697,0.800000011920929,23.5,13.3999996185303
11,"Sweden",0,0,6/1/1958,195806,11220,"Communist Party",20,117,1983,0,999,3.36395740509033,0,998,5,231,1,10,0,0,0,0,10.3000001907349,0.200000002980232,0,0,0,0,0,0.5,0,0,3,0,0,0,0,0,0.200000002980232,2.79999995231628,0.200000002980232,0,0,0,3.70000004768372,0,0,6.09999990463257,0.5,0,2.79999995231628,0,0,1.89999997615814,14.5,4,26.2999992370605,0,7.90000009536743,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,429,-41.7000007629395,3.5,2.79999995231628,30.2999992370605,10.5
11,"Sweden",0,0,9/18/1960,196009,11220,"Communist Party",20,117,1983,0,999,4.47942876815796,0,998,5,232,1,10,0,0,0,0,9.5,13.1000003814697,0,0,0,0,0,2.40000009536743,0,0,0,0,0,0,0,0,0,8.30000019073486,0,0,0,0,7.09999990463257,0,1.20000004768372,0,2.40000009536743,1.20000004768372,5.90000009536743,0,0,0,0,2.40000009536743,7.09999990463257,0,3.59999990463257,0,0,0,0,0,1.20000004768372,0,0,0,0,0,0,0,0,1.20000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,84,-40.5,10.6999998092651,5.90000009536743,9.5,22.6000003814697
11,"Sweden",10,0,9/20/1964,196409,11220,"Communist Party",20,117,1983,0,999,5.22273874282837,0,998,8,233,1,10,0,0,0,0,0,0,0,0,0,0,0,3.40000009536743,0,0,0,0,0,0,0,0,0,6.90000009536743,5.19999980926514,0,0,0,0,0,1.70000004768372,0,5.19999980926514,13.8000001907349,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,61,-50,17.2999992370605,0,15.5,0
11,"Sweden",10,0,9/15/1968,196809,11220,"Vk Left Communist Party",20,117,1983,0,999,3.0060179233551,0,998,3,233,1,10,0.5,0,8.19999980926514,0,1,0,6.30000019073486,0,0,0.5,1.5,8.19999980926514,0,0,0,0,0.5,0,0,0,0,7.30000019073486,0,0,0,0,0,0,1.89999997615814,0,5.30000019073486,4.80000019073486,0,0,0,1.5,0,12.1000003814697,5.30000019073486,0,1,0,0,0,0,0,0.5,0,0,0,1.5,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,206,-46.9000015258789,12.6000003814697,0,17.3999996185303,1
11,"Sweden",10,0,9/20/1970,197009,11220,"Vk Left Communist Party",20,117,1983,0,999,4.7558217048645,0,998,17,350,1,10,0,0,0,0,0,0,0,0,0,1.29999995231628,0,5.09999990463257,0,0,0,0,0,0,0,0,1.29999995231628,11.5,0,0,0,0,1.29999995231628,0,3.79999995231628,0,15.3999996185303,3.79999995231628,0,0,0,11.5,2.59999990463257,12.8000001907349,0,0,0,0,0,0,0,0,0,0,0,0,6.40000009536743,1.29999995231628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899978637695,78,-40.9000015258789,26.8999996185303,0,12.8000001907349,0
